"degrees_east","degrees_north","UTC"
-117.19,29.43,2002-08-06
-117.22,29.37,2002-08-07
-117.27,29.32,2002-08-08
-117.25,29.25,2002-08-09
-117.42,29.26,2002-08-10
-117.3,29.28,2002-08-11
-117.47,29.33,2002-08-12
-117.27,29.4,2002-08-13
-117.21,29.48,2002-08-14
-117.25,29.6,2002-08-15
-117.38,29.77,2002-08-16
-117.25,29.81,2002-08-17
-117.29,29.92,2002-08-18
-117.08,29.92,2002-08-19
-116.89,30.01,2002-08-20
-116.78,30.03,2002-08-21
-116.81,30.12,2002-08-22
-116.86,30.1,2002-08-23
-116.76,30.09,2002-08-24
-116.92,30.04,2002-08-25
-116.8,30.02,2002-08-26
-116.98,30,2002-08-27
-116.87,29.99,2002-08-28
-116.87,30.12,2002-08-29
-117,30.14,2002-08-30
-117.1,30.23,2002-08-31
-116.829,30.1463,2002-08-05
-116.789976,29.98034622,2002-08-06
-116.833476,29.87747295,2002-08-07
-116.7594354,29.69651046,2002-08-08
-116.8276574,29.67886965,2002-08-09
-116.8548473,29.51984521,2002-08-10
-116.8601533,29.36120847,2002-08-11
-116.7893605,29.25122014,2002-08-12
-116.7872878,29.1246973,2002-08-13
-116.7522022,29.03269959,2002-08-14
-116.8108115,29.06088072,2002-08-15
-116.9427663,29.24883262,2002-08-16
-117.1094355,29.32858821,2002-08-17
-117.1699229,29.43079313,2002-08-18
-117.1995628,29.5502756,2002-08-19
-117.0880988,29.52620125,2002-08-20
-117.1471786,29.65347863,2002-08-21
-117.1126648,29.69559514,2002-08-22
-117.0262018,29.72717005,2002-08-23
-117.0094819,29.87890276,2002-08-24
-117.0338067,29.95020749,2002-08-25
-117.0674449,29.99927378,2002-08-26
-117.0719903,29.98951255,2002-08-27
-117.003374,29.90936527,2002-08-28
-117.0916608,30.14859785,2002-08-29
-117.3001239,30.34785504,2002-08-30
-117.4192916,30.50566889,2002-08-31
-116.829,30.1463,2002-08-05
-116.8950881,30.2860702,2002-08-06
-116.9879901,30.42311215,2002-08-07
-117.0966281,30.5607549,2002-08-08
-117.1626968,30.66300693,2002-08-09
-117.2445228,30.78756909,2002-08-10
-117.3546058,30.91677298,2002-08-11
-117.4257351,31.0325132,2002-08-12
-117.524958,31.17279561,2002-08-13
-117.6097689,31.31208071,2002-08-14
-117.6509737,31.35949162,2002-08-15
-117.6441795,31.32441266,2002-08-16
-117.6502308,31.2421903,2002-08-17
-117.640939,31.07753717,2002-08-18
-117.4396033,30.72216192,2002-08-19
-117.2329036,30.36547791,2002-08-20
-117.0312894,30.04296405,2002-08-21
-116.8692928,29.80611829,2002-08-22
-116.793264,29.59414803,2002-08-23
-116.6573567,29.44631045,2002-08-24
-116.6885569,29.47009229,2002-08-25
-116.6290216,29.48549734,2002-08-26
-116.7187719,29.57107881,2002-08-27
-116.7204938,29.5985033,2002-08-28
-116.8784645,29.82461581,2002-08-29
-117.0158778,30.01320023,2002-08-30
-117.1222343,30.21451338,2002-08-31
-116.829,30.1463,2002-08-05
-116.8603018,30.15762905,2002-08-06
-116.9128819,30.13698096,2002-08-07
-116.891029,30.03809656,2002-08-08
-116.7978392,29.9409876,2002-08-09
-116.7636258,29.86982139,2002-08-10
-116.7037686,29.7384403,2002-08-11
-116.6545521,29.80597276,2002-08-12
-116.869687,29.96986586,2002-08-13
-116.9570143,30.02077359,2002-08-14
-117.1207242,30.18316554,2002-08-15
-117.2665923,30.41105405,2002-08-16
-117.6375271,30.84733688,2002-08-17
-118.1300382,31.25929086,2002-08-18
-118.6197964,31.7205166,2002-08-19
-119.1512912,32.25496836,2002-08-20
-119.8351231,32.89041011,2002-08-21
-120.4991511,33.42440013,2002-08-22
-121.0066335,33.70278068,2002-08-23
-121.1841436,33.5525314,2002-08-24
-120.8221398,33.20558162,2002-08-25
-120.4386205,32.9475619,2002-08-26
-120.0998083,32.79829368,2002-08-27
-119.9350332,32.63887348,2002-08-28
-119.6090928,32.24072095,2002-08-29
-119.1870786,31.76740381,2002-08-30
-118.7653988,31.54311669,2002-08-31
-116.7898559,28.80642609,2003-08-01
-116.5596314,28.69969457,2003-08-02
-116.4238191,28.77839732,2003-08-03
-116.4135801,28.7900749,2003-08-04
-116.3852896,28.80571231,2003-08-05
-116.829,30.1463,2002-08-05
-117.1950265,30.1105987,2002-08-08
-117.255919,29.811543,2002-08-11
-116.8435073,29.49019066,2002-08-14
-117.0160694,29.68498076,2002-08-17
-116.7686698,29.94304293,2002-08-20
-117.2045421,30.39226357,2002-08-23
-117.3350662,30.62147402,2002-08-26
-117.8071689,30.8618171,2002-08-29
-116.4294426,28.09306114,2003-08-03
-116.6622043,28.34225886,2003-08-06
-117.1329261,28.5601883,2003-08-09
-117.353465,28.64612459,2003-08-12
-117.2104399,28.69859547,2003-08-15
-117.1622336,28.75033554,2003-08-18
-117.8877831,29.48882077,2003-08-21
-118.0654281,29.79371809,2003-08-24
-118.3950527,30.42406343,2003-08-27
-120.7291323,32.12441837,2003-08-30
-117.25,29.7,2002-08-09
-117.28,29.73,2002-08-10
-117.28,29.75,2002-08-11
-117.2,29.73,2002-08-12
-117.15,29.76,2002-08-13
-117.2,29.89,2002-08-14
-117.3,30.08,2002-08-15
-117.44,30.29,2002-08-16
-117.46,30.37,2002-08-17
-117.38,30.35,2002-08-18
-117.23,30.28,2002-08-19
-117.07,30.27,2002-08-20
-117.01,30.34,2002-08-21
-116.97,30.42,2002-08-22
-116.96,30.5,2002-08-23
-116.9,30.48,2002-08-24
-116.95,30.55,2002-08-25
-116.94,30.51,2002-08-26
-116.98,30.51,2002-08-27
-116.91,30.44,2002-08-28
-116.86,30.48,2002-08-29
-116.89,30.6,2002-08-30
-116.93,30.74,2002-08-31
-116.91,30.01,2002-08-06
-116.86,29.94,2002-08-07
-116.77,29.79,2002-08-08
-116.76,29.71,2002-08-09
-116.87,29.75,2002-08-10
-116.98,29.77,2002-08-11
-116.94,29.66,2002-08-12
-116.92,29.6,2002-08-13
-116.9,29.56,2002-08-14
-116.89,29.53,2002-08-15
-116.88,29.53,2002-08-16
-116.85,29.51,2002-08-17
-116.9,29.59,2002-08-18
-117.03,29.78,2002-08-19
-117.19,30,2002-08-20
-117.34,30.21,2002-08-21
-117.42,30.35,2002-08-22
-117.32,30.33,2002-08-23
-117.08,30.19,2002-08-24
-116.93,30.12,2002-08-25
-116.87,30.09,2002-08-26
-116.95,30.16,2002-08-27
-117.03,30.22,2002-08-28
-117.09,30.24,2002-08-29
-117.2,30.31,2002-08-30
-117.28,30.38,2002-08-31
-117.21,30.31,2002-08-08
-117.33,30.41,2002-08-09
-117.49,30.55,2002-08-10
-117.43,30.53,2002-08-11
-117.3,30.47,2002-08-12
-117.32,30.51,2002-08-13
-117.4,30.6,2002-08-14
-117.51,30.71,2002-08-15
-117.58,30.8,2002-08-16
-117.63,30.86,2002-08-17
-117.6,30.88,2002-08-18
-117.32,30.77,2002-08-19
-117.02,30.61,2002-08-20
-116.86,30.54,2002-08-21
-116.78,30.49,2002-08-22
-116.67,30.44,2002-08-23
-116.55,30.4,2002-08-24
-116.58,30.44,2002-08-25
-116.63,30.49,2002-08-26
-116.65,30.52,2002-08-27
-116.71,30.55,2002-08-28
-116.8,30.61,2002-08-29
-116.96,30.69,2002-08-30
-117.13,30.75,2002-08-31
-117.11,30.13,2002-08-07
-117.06,30.08,2002-08-08
-117.15,30.15,2002-08-09
-117.24,30.21,2002-08-10
-117.28,30.23,2002-08-11
-117.43,30.34,2002-08-12
-117.68,30.55,2002-08-13
-117.85,30.66,2002-08-14
-117.93,30.67,2002-08-15
-118.05,30.75,2002-08-16
-118.15,30.8,2002-08-17
-118.24,30.86,2002-08-18
-118.33,30.92,2002-08-19
-118.41,30.96,2002-08-20
-118.5,31.01,2002-08-21
-118.58,31.05,2002-08-22
-118.65,31.08,2002-08-23
-118.73,31.12,2002-08-24
-118.79,31.13,2002-08-25
-118.85,31.15,2002-08-26
-118.9,31.15,2002-08-27
-118.78,31.04,2002-08-28
-118.81,31.12,2002-08-29
-118.98,31.29,2002-08-30
-119.25,31.54,2002-08-31
-116.801,30.2123,2002-08-06
-116.8551079,30.24227586,2002-08-07
-116.9642208,30.26276448,2002-08-08
-117.0920505,30.2209064,2002-08-09
-117.1787595,30.08239162,2002-08-10
-117.1798023,29.833654,2002-08-11
-117.0806164,29.5870738,2002-08-12
-116.9751695,29.44802653,2002-08-13
-116.9284353,29.42261992,2002-08-14
-116.9483194,29.48611502,2002-08-15
-116.99952,29.60594435,2002-08-16
-117.0685659,29.7511859,2002-08-17
-117.1688238,29.9131453,2002-08-18
-117.3131276,30.08889238,2002-08-19
-117.5024055,30.27954541,2002-08-20
-117.6926149,30.41737229,2002-08-21
-117.87762,30.51964913,2002-08-22
-118.0370916,30.63010112,2002-08-23
-118.1867943,30.74374923,2002-08-24
-118.3151641,30.82303299,2002-08-25
-118.4142726,30.88963973,2002-08-26
-118.5017016,30.99699621,2002-08-27
-118.6082097,31.17678729,2002-08-28
-118.7502133,31.37688177,2002-08-29
-118.9044723,31.51871262,2002-08-30
-119.0312322,31.47319354,2002-08-31
-117.7677692,28.92754404,2003-08-01
-117.7496575,28.73344444,2003-08-02
-117.6031078,28.48479874,2003-08-03
-117.3226948,28.30348702,2003-08-04
-117.0171553,28.45183236,2003-08-05
-116.9227066,28.86560485,2003-08-06
-117.0221459,29.22661753,2003-08-07
-117.1863543,29.45024837,2003-08-08
-117.3494294,29.46152305,2003-08-09
-117.4176702,29.3262241,2003-08-10
-117.397291,29.14930465,2003-08-11
-117.3061038,29.04595739,2003-08-12
-117.2323027,29.09357968,2003-08-13
-117.27188,29.21852933,2003-08-14
-117.3623326,29.26949882,2003-08-15
-117.445851,29.32287869,2003-08-16
-117.5427519,29.43483857,2003-08-17
-117.666089,29.6135088,2003-08-18
-117.8467531,29.94975805,2003-08-19
-118.1501267,30.44355788,2003-08-20
-118.5845578,31.01396031,2003-08-21
-119.0869048,31.40323558,2003-08-22
-119.4786067,31.51663643,2003-08-23
-119.6837035,31.46186118,2003-08-24
-119.7447042,31.41408977,2003-08-25
-119.7504189,31.39311352,2003-08-26
-119.727526,31.4043008,2003-08-27
-119.7044537,31.49373904,2003-08-28
-119.7349108,31.74722977,2003-08-29
-119.901488,32.06197074,2003-08-30
-120.1286496,32.26084873,2003-08-31
-116.94,29.64,2002-08-07
-116.91,29.49,2002-08-08
-116.97,29.36,2002-08-09
-117.03,29.22,2002-08-10
-117.05,29.07,2002-08-11
-117.05,28.93,2002-08-12
-117.05,28.78,2002-08-13
-117.05,28.67,2002-08-14
-117.07,28.63,2002-08-15
-117.13,28.7,2002-08-16
-117.18,28.82,2002-08-17
-117.18,28.95,2002-08-18
-117.15,29.08,2002-08-19
-117.11,29.24,2002-08-20
-117.09,29.46,2002-08-21
-117.16,29.82,2002-08-22
-117.35,30.29,2002-08-23
-117.59,30.78,2002-08-24
-117.82,31.16,2002-08-25
-118.03,31.43,2002-08-26
-118.12,31.49,2002-08-27
-118.18,31.43,2002-08-28
-118.3,31.39,2002-08-29
-118.49,31.4,2002-08-30
-118.61,31.37,2002-08-31
-117.84,28.25,2003-08-01
-117.78,28.26,2003-08-02
-117.69,28.34,2003-08-03
-117.56,28.47,2003-08-04
-117.41,28.61,2003-08-05
-117.35,28.8,2003-08-06
-117.32,28.97,2003-08-07
-117.24,29.03,2003-08-08
-117.19,29.06,2003-08-09
-117.19,29.08,2003-08-10
-117.23,29.12,2003-08-11
-117.28,29.17,2003-08-12
-117.33,29.23,2003-08-13
-117.4,29.29,2003-08-14
-117.49,29.35,2003-08-15
-117.61,29.42,2003-08-16
-117.77,29.51,2003-08-17
-117.9,29.56,2003-08-18
-118.02,29.61,2003-08-19
-118.13,29.64,2003-08-20
-118.18,29.62,2003-08-21
-118.19,29.57,2003-08-22
-118.11,29.48,2003-08-23
-117.97,29.34,2003-08-24
-117.85,29.22,2003-08-25
-117.83,29.18,2003-08-26
-117.95,29.3,2003-08-27
-118.33,29.72,2003-08-28
-118.99,30.46,2003-08-29
-119.77,31.35,2003-08-30
-120.56,32.28,2003-08-31
-117.41,28.78,2004-08-01
-117.37,28.69,2004-08-02
-117.46,28.76,2004-08-03
-117.6,28.9,2004-08-04
-117.59,28.93,2004-08-05
-117.56,28.96,2004-08-06
-117.65,29.1,2004-08-07
-117.79,29.3,2004-08-08
-117.98,29.55,2004-08-09
-118.14,29.78,2004-08-10
-118.23,30,2004-08-11
-118.27,30.2,2004-08-12
